country,Number of Cases
Iraq,24636
Pakistan,14368
Afghanistan,12731
India,11960
Colombia,8306
Philippines,6908
Peru,6096
El Salvador,5320
United Kingdom,5235
Turkey,4292
Somalia,4142
Nigeria,3907
Thailand,3849
Yemen,3347
Spain,3249
Sri Lanka,3022
United States,2836
Algeria,2743
France,2693
Egypt,2479
Lebanon,2478
Chile,2365
Libya,2249
West Bank and Gaza Strip,2227
Syria,2201
Russia,2194
Israel,2183
Guatemala,2050
South Africa,2016
Nicaragua,1970
Ukraine,1709
Bangladesh,1648
Italy,1565
Greece,1275
Nepal,1215
Sudan,967
Argentina,815
Democratic Republic of the Congo,775
Indonesia,761
Germany,735
Iran,684
Kenya,683
Burundi,613
Mali,566
Myanmar,546
West Germany (FRG),541
Mexico,524
Angola,499
Japan,402
Uganda,394
Saudi Arabia,371
Mozambique,363
Cameroon,332
Honduras,323
Bolivia,314
Ireland,307
Venezuela,293
Central African Republic,283
Brazil,273
Cambodia,259
China,252
South Sudan,225
Ecuador,220
Georgia,217
Haiti,213
Bahrain,207
Yugoslavia,203
Kosovo,196
Ethiopia,190
Tajikistan,188
Bosnia-Herzegovina,159
Rwanda,159
Belgium,154
Niger,154
Namibia,151
Portugal,140
Sweden,132
Cyprus,132
Netherlands,130
Panama,127
Macedonia,118
Senegal,118
Austria,115
Australia,114
Paraguay,114
Jordan,113
Switzerland,111
Tunisia,109
Sierra Leone,101
Zimbabwe,101
Malaysia,99
Canada,96
Chad,91
Dominican Republic,90
Papua New Guinea,89
Rhodesia,83
Uruguay,82
Albania,80
Soviet Union,78
Kuwait,76
Ivory Coast,74
Costa Rica,67
Suriname,66
Zambia,62
Tanzania,59
Croatia,57
Guadeloupe,56
Bulgaria,52
Burkina Faso,52
Zaire,50
Taiwan,50
Azerbaijan,49
Togo,48
Hungary,46
Denmark,41
Poland,39
South Korea,38
East Germany (GDR),38
Morocco,36
Jamaica,36
Republic of the Congo,36
Kyrgyzstan,35
Liberia,34
Macau,33
Czech Republic,32
New Caledonia,31
Cuba,30
Lesotho,29
Kazakhstan,27
Laos,27
Madagascar,27
Guyana,26
Hong Kong,26
Guinea,25
Armenia,24
Malta,23
United Arab Emirates,22
Trinidad and Tobago,22
Djibouti,22
Maldives,22
Moldova,21
Uzbekistan,21
New Zealand,20
Finland,20
Ghana,19
Norway,19
Slovak Republic,18
Mauritania,18
Fiji,17
Latvia,17
Estonia,16
Luxembourg,16
Swaziland,16
Belarus,13
Vietnam,12
Martinique,12
Serbia,12
Serbia-Montenegro,11
East Timor,10
Eritrea,10
Botswana,10
Czechoslovakia,10
Guinea-Bissau,9
Belize,8
Gabon,8
Benin,8
Lithuania,8
Qatar,7
French Guiana,7
Singapore,7
Romania,6
North Yemen,6
Bhutan,6
Brunei,6
Slovenia,6
Western Sahara,5
Malawi,5
Grenada,5
Comoros,5
Montenegro,5
Bahamas,5
Solomon Islands,4
Iceland,4
People's Republic of the Congo,4
Gambia,3
Barbados,3
French Polynesia,3
Dominica,3
Mauritius,2
Turkmenistan,2
Equatorial Guinea,2
Vanuatu,2
St. Kitts and Nevis,2
South Yemen,2
Seychelles,2
International,1
Andorra,1
Falkland Islands,1
Wallis and Futuna,1
Vatican City,1
Antigua and Barbuda,1
New Hebrides,1
St. Lucia,1
South Vietnam,1
North Korea,1
