year,Explosion,Armed_Assault,Assassination,Kidnapping,Facility_Attack,Unarmed_Assault,Unknown,Barricade_Incident,Hijacking
2017,5024,2365,816,878,751,101,825,82,58
2016,7108,2733,821,1132,696,71,922,61,43
2015,7662,3368,927,1197,705,95,891,82,38
2014,8799,4071,920,1397,783,54,784,46,49
2013,6685,2962,853,634,564,39,256,26,17
2012,5083,2085,461,353,305,30,182,18,5
2011,2590,1395,342,363,242,20,113,2,9
2010,2510,1114,360,391,293,21,116,8,13
2009,2568,1115,228,279,348,19,137,4,23
2008,2662,1093,219,388,285,31,106,5,16
2007,1866,849,140,223,115,6,30,6,7
2006,1506,739,140,202,107,15,39,7,3
2004,659,259,104,77,33,4,26,3,1
2003,689,315,88,46,88,20,27,2,3
2002,720,367,73,79,49,10,25,4,6
2001,800,582,127,145,148,41,45,4,14
2000,904,493,103,125,111,26,43,2,7
1999,652,367,61,114,114,36,39,6,6
1997,1123,826,420,299,137,25,348,3,16
1996,1219,638,478,155,216,23,291,15,23
1995,791,740,729,141,296,108,232,14,30
1994,1153,816,771,191,189,61,204,34,37
1992,1738,1327,1111,142,472,48,187,22,24
1991,1988,1271,730,222,353,14,64,16,25
1990,1731,876,877,168,190,7,13,17,8
1989,1797,1121,980,130,240,8,17,18,13
1988,1649,922,821,109,151,5,39,16,9
1987,1477,798,495,99,120,3,163,26,2
1986,1506,592,371,96,141,6,117,27,4
1985,1482,659,311,116,138,5,134,55,15
1984,1776,823,443,77,162,7,157,29,21
1983,1246,852,360,124,142,2,110,26,8
1982,1125,665,361,105,148,3,79,50,8
1981,1082,697,405,122,151,3,74,34,18
1980,997,574,618,140,169,2,98,50,14
1979,1058,447,526,146,197,7,196,76,9
1976,419,124,204,45,113,3,5,6,4
1974,285,46,158,37,42,4,1,5,3
1973,149,62,164,43,36,3,1,7,8
1970,333,61,22,38,174,3,6,3,11
