target_type,Number of Cases
Private Citizens & Property,43511
Military,27984
Police,24506
Government (General),21283
Business,20669
Transportation,6799
Utilities,6023
Unknown,5898
Religious Figures/Institutions,4440
Educational Institution,4322
Government (Diplomatic),3573
Terrorists/Non-State Militia,3039
Journalists & Media,2948
Violent Political Party,1866
Airports & Aircraft,1343
Telecommunication,1009
NGO,970
Tourists,440
Maritime,351
Food or Water Supply,317
Abortion Related,263
Other,137
