gname,Number of Cases,success,success_rate
Taliban,7478,6680,89.32869751270393
Islamic State of Iraq and the Levant (ISIL),5613,4759,84.7853197933369
Shining Path (SL),4555,4337,95.21405049396267
Farabundo Marti National Liberation Front (FMLN),3351,3317,98.98537749925396
Al-Shabaab,3288,3016,91.72749391727494
New People's Army (NPA),2772,2457,88.63636363636364
Irish Republican Army (IRA),2671,2282,85.43616622987645
Revolutionary Armed Forces of Colombia (FARC),2487,2302,92.56131885806192
Boko Haram,2418,2247,92.92803970223325
Kurdistan Workers' Party (PKK),2310,2175,94.15584415584415
Basque Fatherland and Freedom (ETA),2024,1721,85.0296442687747
Communist Party of India - Maoist (CPI-Maoist),1878,1774,94.46219382321618
